item_name,product_code,retail_selling_price,units,buying_price,wholesale_selling_price,minimum_order_quantity,discount
Falken 235/50R18 101V WPATTR XL,M11291748FJ,29700,10,24000,26400,1,12
Falken 235/50R18 101W  ZE914EC,M10691248FJ,16500,10,10000,11000,1,12
Falken 235/55R17 103V WPATTR XL,M11291744FJ,21450,10,15000,16500,1,12
Falken 235/55R17 103W FK510 SUV XL,M11291303FJ,24200,10,17500,19250,1,12
Falken 235/55R17 99W ZE914ER,M10692032FJ,22000,10,15000,16500,1,12
Yokohama 235/55R17 99WAE51 X  L ECII,R4624,22000,10,16500,18150,1,12
Falken 235/55R18 104Y FK520L XL,M10692186FJ,28600,10,22500,24750,1,12
Chaoyang 235/55R18PR SU318 H/T,MIX000085,17050,10,14500,15950,1,12
Yokohama 235/55R19 A5YV107 WRBL TPWO,R7553,42900,10,35000,38500,1,12
Yokohama 235/60R18 A3HG99B X  L MIRH,R5986,23100,10,18000,19800,1,12
Yokohama 235/60R18 A7HG015 XRRL WORP,R1145,30250,10,24000,26400,1,12
Triangle 235/60R18(TR292)103T,CBPTR29223H18THJ,16500,10,14000,15400,1,12
Mastercraft 235/65R17 104T COURSER AXT OWL,MIX000043,20350,10,17300,19030,1,12
Falken 235/65R17 108H WILDPEAK A/T AT3WA XL,M11291557FJ,25300,10,20000,22000,1,12
Falken 235/65R17 108W FK510 SUV XL,M11291305FJ,24200,10,19000,20900,1,12
Yokohama 235/65R17 A8HG015 XRRL I2RP,R1138,27500,10,22000,24200,1,12
Falken 235/65R18 106W FK510 SUV,M11291315FJ,38500,10,29500,32450,1,12
Triangle 235/65R18(TR259)106H,CBPTR25923G18HHJ,19250,10,16500,18150,1,12
Falken 235/70R16 109T WILDPEAK A/T AT3W XL,M11291659FJ,19800,10,17000,18700,1,12
Yokohama 235/70R16 A6HG015 XRRL SDRP,R1152,26400,10,20500,22550,1,12
Falken 235/75R15 109T WILDPEAK A/T AT3W XL,M11291660FJ,21450,10,17000,18700,1,12
Yokohama 235/75R15 A9HG015 XRRL SDRP,R1164,22550,10,17500,19250,1,12
Triangle 235/75R15(TR292)109S,CBCTR29223E16DHJ,16500,10,13000,14300,1,12
Falken 235/75R15LT 104/101S A/T01 OWL,M11291487FJ,21450,10,16000,17600,1,12
Yokohama 235/75R15LT A4SG015 XOLL SCRP,E4519,24750,10,19500,21450,1,12
Jinyu 235/75R17.5 JA767 143/141L 18PR,3302002149,21450,10,17500,19250,1,12
Jinyu 235/75R17.5 JF518 143/141L 18PR,3302001572,20350,10,16500,18150,1,12
Falken 235/85R16LT 120/116Q M/T01,M11291242FJ,33550,10,28000,30800,1,12
Yokohama 235/85R16LT C0QG003 XRRL WO,E4698,41250,10,34500,37950,1,12
Yokohama 235/85R16LT C0RG015 XOLL SCRP,E4454,36850,10,29000,31900,1,12
Falken 245/35R19 93Y FK520L XL,M10692189FJ,28600,10,23000,25300,1,12
Falken 245/40R17 95Y FK510 XL MFS,M10691702FJ,24200,10,18000,19800,1,12
Falken 245/40R18 97Y FK520L XL,M10692192FJ,25850,10,20000,22000,1,12
Falken 245/40R19 98Y FK510 XL MFS,M10691782FJ,33550,10,27000,29700,1,12
Falken 245/40R20 99Y FK510 XL MFS,M10691796FJ,35750,10,29000,31900,1,12
Falken 245/45R17 99Y FK510 XL MFS,M10691703FJ,23100,10,18000,19800,1,12
Falken 245/45R18 100Y FK520L XL,M10692195FJ,30250,10,22500,24750,1,12
Yokohama 245/45R18 AOWAE51 XRBL EC11,R4576,32450,10,25000,27500,1,12
Falken 245/45R19 102Y FK520L XL,M10692196FJ,30800,10,25000,27500,1,12
Falken 245/45R20 103Y FK510 XL MFS,M10691728FJ,42900,10,32500,35750,1,12
Falken 245/65R17 107S WILDPEAK A/T01 - INCH 17,M11291436FJ,13750,10,7000,7700,1,12
Falken 245/65R17 107S WILDPEAK H/T01 MFS -INC17,MIX000021,19580,10,16800,18480,1,12
Falken 245/65R17 111H AT3WA XL,M11291558FJ,13750,10,7000,7700,1,12
Falken 245/70R16 111T WILDPEAK A/T AT3W XL,M11291661FJ,22000,10,18500,20350,1,12
Yokohama 245/70R16 B1HG015 XRRL WORP,R1148,28050,10,20000,22000,1,12
Mastercraft 245/75R17LT 121/118S COURSER AXT OWL,MIX000045,31350,10,27500,30250,1,12
Accelera 255/35r18 PHI,MIX000075,9900,10,8000,8800,1,12
Falken 255/40R18 99Y FK510 XL MFS,M10691711FJ,35750,10,27500,30250,1,12
Falken 255/40R20 101Y FK510 XL MFS,M10691798FJ,33000,10,27000,29700,1,12
Falken 255/50R19 107Y FK510 SUV XL MFS,M11291317FJ,37950,10,29000,31900,1,12
Triangle 255/50R19(TR259)107V,CBPTR25925K19VFJ,19250,10,16500,18150,1,12
Falken 255/55R18 109H AT3WA XL,M11291563FJ,29700,10,22500,24750,1,12
Yokohama 255/55R18 A9HG015 XRRL WORP,R4064,34100,10,27000,29700,1,12
Falken 255/55R19 111H WILDPEAK A/T AT3WA XL,M11291568FJ,34100,10,28000,30800,1,12
Falken 255/55R19 111W FK510 SUV XL,M11291321FJ,44000,10,35000,38500,1,12
Yokohama 255/55R19 B1YV107 WRBL TPWO,R7567,36300,10,30000,33000,1,12
Firestone 255/55R19 LE-02 111V TL XL,MIX000024,22990,10,17900,19690,1,12
Yokohama 255/55R20 B0YV107 WRBL TPWO,R7568,49500,10,42000,46200,1,12
Falken 255/65R16 109T A/T01,M11291448FJ,13200,10,9000,9900,1,12
Jinyu 255/70R22.5 JU555 144/142J 18PR,3302002155,29150,10,24500,26950,1,12
Falken 265/35R18 97Y FK510 XL MFS,M10691713FJ,26400,10,20000,22000,1,12
Falken 265/35R18 97Y FK520L XL,M10692210FJ,26950,10,21000,23100,1,12
Falken 265/35R19 98Y FK520L XL,M10692211FJ,36300,10,30000,33000,1,12
Falken 265/40R21 105Y FK520L XL,M10692212FJ,52800,10,45000,49500,1,12
Falken 265/45R20 108Y FK520L XL,M10692213FJ,36300,10,30000,33000,1,12
Falken 265/55R19 109Y FK510 SUV,M11291322FJ,41800,10,35000,38500,1,12
Falken 265/60R18 114T WILDPEAK A/T AT3W XL,M11291715FJ,35200,10,28000,30800,1,12
Triangle 265/60R18(TR292)114H,CBPTR29226H18HFJ,20350,10,17500,19250,1,12
